Entrepreneur ID,Agency,Support Type,Amount,Support Received Date,Business Type,Location,Outcome
cae0f688-28ff-4b72-a7c6-95df5e8f5b1e,Perbadanan Nasional Berhad,Financing for franchise businesses,15088.62,16/7/2023,SMEs,Labuan,Moderate
4a021b86-20f5-44cc-9c52-f9669c9f5b1d,Institut Koperasi Malaysia,Cooperative training programs,0,10/6/2024,Startups,Labuan,Failure
2c9bd700-28d3-49b8-b593-759aca1c7ab9,Amanah Ikhtiar Malaysia,Microfinancing,30042.66,22/1/2024,Women Entrepreneurs,Kedah,Failure
6143f46f-139c-426a-9d8c-b0f01d9d3caf,Institut Keusahawanan Negara,Advisory services,0,17/7/2023,Innovative and High-Growth Businesses,Kedah,Failure
e622269d-0805-4b90-91c5-45272a45bb6b,Institut Koperasi Malaysia,Cooperative training programs,0,14/3/2023,Startups,Sarawak,Success
fff334bc-011c-4874-acec-300b9a33a060,Institut Keusahawanan Negara,Entrepreneurial training,0,23/1/2023,SMEs,Johor,Failure
b8e25417-7342-467e-94c5-fa89836dbb8e,Tekun Nasional,Entrepreneurial training,0,11/8/2024,Microenterprises,Sabah,Failure
48e7bc57-870b-4463-9788-963a85df661e,Institut Koperasi Malaysia,Cooperative training programs,0,11/11/2023,Cooperatives,Melaka,Moderate
b48fc8c3-a85e-4d31-ae1d-09dc0dc2c6fc,Bank Rakyat,Microfinancing,59157.4,4/7/2023,SMEs,Perak,Success
69408d24-aa56-459c-bfb0-aab01a5cd075,SME Corp Malaysia,Grants,34834.61,7/9/2023,Startups,Sabah,Moderate
e6f5987a-b7d3-48b5-8e32-76ad296eb052,Institut Koperasi Malaysia,Cooperative training programs,0,12/11/2022,Startups,Penang,Moderate
ca236fec-3d88-4ea1-8043-acbd04065964,SME Corp Malaysia,Grants,72160.31,11/9/2022,Innovative and High-Growth Businesses,Putrajaya,Moderate
40f20434-adc0-45af-847a-0e3668338a2b,Institut Koperasi Malaysia,Cooperative training programs,0,15/12/2022,Cooperatives,Pahang,Failure
5e0d3547-f530-44a1-b17a-153efb07d84b,SME Bank,Advisory services,0,14/10/2023,SMEs,Penang,Failure
527853e5-285e-4998-808b-be1cc3910210,Perbadanan Nasional Berhad,Advisory services,0,24/1/2023,SMEs,Melaka,Success
dd0e140a-4089-43a8-8eff-f8a501f14dd5,Institut Keusahawanan Negara,Entrepreneurial training,0,1/11/2023,Startups,Kuala Lumpur,Failure
f73414aa-a0d6-4734-b028-4e9cf49e602e,UDA Holding Berhad,Property development support,0,7/6/2024,SMEs,Johor,Moderate
3af87a51-b1f2-485b-8c03-fda15d454799,SME Corp Malaysia,Advisory services,0,22/7/2023,Startups,Putrajaya,Success
a5e83b4f-f4ae-4558-8bf5-0bb9f1b1f7c3,Institut Koperasi Malaysia,Cooperative training programs,0,16/10/2023,Cooperatives,Sarawak,Success
f5628023-ad03-44ab-b88f-6a642db76d38,SME Corp Malaysia,Advisory services,0,4/2/2023,Startups,Kedah,Success
6bb99928-0df5-4f44-9e19-6d11f06ab3b5,Institut Koperasi Malaysia,Cooperative training programs,0,12/12/2022,Cooperatives,Negeri Sembilan,Moderate
4847f298-5da8-4be6-8abc-98eed92a1ebe,SME Corp Malaysia,Grants,41507.56,27/9/2023,Startups,Labuan,Moderate
79c34320-4f1c-4600-a981-297c3b474674,Perbadanan Nasional Berhad,Advisory services,0,29/7/2024,SMEs,Melaka,Failure
9c183b4a-be60-4a54-9ebc-45ac2c3281d9,Amanah Ikhtiar Malaysia,Microfinancing,14477,13/5/2023,Microenterprises,Kedah,Failure
ebe4334e-7d0d-4bee-a515-6aeb9862591f,SME Bank,Business loans,25341.71,11/5/2023,Social Enterprises,Penang,Moderate
6cea016f-46d9-4c73-b523-013ca266ca22,SME Corp Malaysia,Advisory services,0,20/2/2024,Startups,Sarawak,Success
f1acf608-d604-4e7b-94db-7ed9d37db706,SME Bank,Business loans,24642.09,20/5/2023,Social Enterprises,Labuan,Moderate
747816a5-cdff-477d-bc00-17a78d5c279f,SME Corp Malaysia,Advisory services,0,6/12/2023,Startups,Penang,Moderate
16fb53ab-4b43-4089-a6bf-6c25c158e2c5,Tekun Nasional,Advisory services,0,28/4/2024,Microenterprises,Putrajaya,Failure
468074a5-e7b5-45d1-8fd4-2b748e9ed523,Suruhanjaya Koperasi Malaysia,Cooperative advisory services,0,10/9/2023,SMEs,Perlis,Success
0161810a-210d-4f8d-a0fd-530fdccad672,UDA Holding Berhad,Advisory services,0,31/12/2023,Property Development Companies,Labuan,Moderate
88cca58d-52ff-4a8c-bc6c-63b4d84c8173,Amanah Ikhtiar Malaysia,Microfinancing,32413.59,15/2/2024,Women Entrepreneurs,Kelantan,Failure
9c2c35e2-ca91-4c2a-80dc-9f60e4747fe1,Amanah Ikhtiar Malaysia,Microfinancing,95780.33,27/8/2022,SMEs,Perak,Success
0d829a17-76b4-4793-8314-f2e1d23aa45d,Tekun Nasional,Business loans,90568.36,18/4/2024,SMEs,Putrajaya,Failure
ba8aeac4-cd52-43c1-96d3-aa7e6139814b,UDA Holding Berhad,Business premises,0,3/12/2023,SMEs,Melaka,Success
71530bd6-8054-48c0-b15d-86560b67e29c,Bank Rakyat,Business loans,65534.41,4/2/2023,Cooperatives,Terengganu,Success
6acebf05-4bf4-4ef7-a854-8868359655d7,SME Bank,Advisory services,0,3/1/2023,Social Enterprises,Kedah,Moderate
a9617beb-091b-4e2e-a77e-1b6da7da429c,Suruhanjaya Koperasi Malaysia,Cooperative advisory services,0,14/1/2023,SMEs,Perak,Failure
4e96824d-2b0d-4aba-b89f-1ef7daa1e8ef,Institut Koperasi Malaysia,Cooperative training programs,0,3/5/2023,SMEs,Kuala Lumpur,Failure
a7a88c48-f0cf-48e1-af5d-c864a07c6ee9,UDA Holding Berhad,Property development support,0,19/9/2023,Startups,Negeri Sembilan,Moderate
74cc2790-ff53-46da-863c-0bbc26a38bc9,Institut Koperasi Malaysia,Cooperative training programs,0,26/3/2024,Cooperatives,Terengganu,Success
6f73ad9b-1b5d-485e-81b3-f4df76cdb6b1,Institut Koperasi Malaysia,Cooperative training programs,0,3/11/2023,Cooperatives,Melaka,Moderate
4be23da6-f131-4e96-b889-a30d50a6c4ec,Institut Koperasi Malaysia,Cooperative training programs,0,6/9/2023,SMEs,Kedah,Success
6c84242a-9a1f-483f-bb5f-fc3cfb536ce9,Suruhanjaya Koperasi Malaysia,Grants,97876.45,26/2/2023,SMEs,Kuala Lumpur,Success
7a6b0e29-d19c-4538-94a7-4caa4cdfebba,Institut Koperasi Malaysia,Cooperative training programs,0,21/1/2024,SMEs,Melaka,Success
30f91bd1-3a36-406b-81d6-a30e822ff4b4,SME Corp Malaysia,Grants,68321.91,28/6/2024,SMEs,Melaka,Success
dcca0f1a-8ec5-40b7-818f-ad140e93561f,SME Corp Malaysia,Advisory services,0,29/12/2023,Startups,Sarawak,Moderate
9540ac70-2e4a-49e1-bb39-da70c85ce583,Institut Koperasi Malaysia,Cooperative training programs,0,6/10/2022,SMEs,Sabah,Success
ba4473ef-46ae-4c6d-8b37-0f47f6f0d98a,Institut Keusahawanan Negara,Advisory services,0,22/8/2023,SMEs,Perak,Failure
e7dc35c3-54e7-4ab8-b883-def7048b6bba,Institut Keusahawanan Negara,Entrepreneurial training,0,19/9/2022,Startups,Putrajaya,Success
a1abeb36-04ab-4089-a174-6aee59d0d51c,Institut Koperasi Malaysia,Cooperative training programs,0,15/6/2023,Startups,Negeri Sembilan,Success
1cedc460-d024-4573-9f19-d16f9d0a1299,Bank Rakyat,Business loans,38206.41,26/6/2023,Individuals,Labuan,Moderate
9f38f3c6-f69d-406c-b76a-7292012d0874,UDA Holding Berhad,Business premises,0,14/3/2024,Property Development Companies,Terengganu,Moderate
5e8fe61f-785b-4043-9ef5-a2fff8c4b2af,Perbadanan Nasional Berhad,Advisory services,0,26/12/2022,SMEs,Selangor,Failure
d6e4482f-72b2-40ea-a937-107294d593d0,Tekun Nasional,Advisory services,0,24/11/2023,SMEs,Negeri Sembilan,Success
62c99fe5-853b-4eba-8a11-94b5cfce0db4,SME Corp Malaysia,Grants,75902.59,24/6/2024,Startups,Sarawak,Moderate
392a2902-7c27-4059-87d9-e4b66fc36a44,SME Corp Malaysia,Advisory services,0,28/10/2022,Startups,Johor,Success
f49a2611-dc29-446d-8533-ebbd019ef578,Bank Rakyat,Business loans,59713.36,8/8/2023,Individuals,Penang,Failure
70775386-2766-4d41-92ac-55d9bd3a9a82,SME Bank,Business loans,91515.68,30/3/2023,Startups,Penang,Moderate
e2ef8543-937d-4ee4-a86d-b4b426c83e05,Institut Koperasi Malaysia,Cooperative training programs,0,19/11/2022,SMEs,Perak,Success
bec36f2f-104f-4a6b-9f80-cd49a69a4a93,Amanah Ikhtiar Malaysia,Microfinancing,57408.78,27/1/2023,Microenterprises,Perak,Success
124aa43b-5cbe-417f-9bc9-d814e876d195,Amanah Ikhtiar Malaysia,Microfinancing,22520.59,12/4/2024,Microenterprises,Kuala Lumpur,Moderate
8481c47a-60c4-49e1-9f0d-70673f600ed0,Bank Rakyat,Microfinancing,1199.33,1/4/2023,Individuals,Negeri Sembilan,Success
9fac0a1d-1508-4415-8d7c-39b7e5a56641,Perbadanan Nasional Berhad,Franchise development support,0,15/8/2023,Startups,Putrajaya,Success
56b38321-c85d-4197-84e2-37fe9f7d3d98,SME Corp Malaysia,Advisory services,0,18/5/2023,SMEs,Melaka,Success
081bffd8-c789-4c10-bc53-2e62c2adbffa,Amanah Ikhtiar Malaysia,Microfinancing,67802.93,26/11/2023,SMEs,Kedah,Moderate
fb7f57d7-448c-4ead-acd6-601ee73d2279,Perbadanan Nasional Berhad,Franchise development support,0,7/5/2024,SMEs,Kuala Lumpur,Failure
34cbad8b-c3b6-4bde-afd0-2c7a43e1a25e,Bank Rakyat,Microfinancing,11231.21,17/2/2024,Cooperatives,Terengganu,Moderate
5965abef-76ba-4494-9560-b07568b3b77b,Amanah Ikhtiar Malaysia,Microfinancing,55424.22,25/2/2024,Women Entrepreneurs,Kelantan,Failure
e0b0b69f-26ef-4274-99b7-149bc0f02610,Tekun Nasional,Entrepreneurial training,0,26/12/2023,SMEs,Sabah,Failure
ee590aa2-4b40-412c-89df-ee4398f61a38,Bank Rakyat,Microfinancing,30572.11,12/7/2023,Individuals,Kuala Lumpur,Moderate
70d1e314-8c36-453c-a2aa-a3e31271a567,SME Bank,Business loans,8768.75,12/11/2023,Social Enterprises,Perlis,Success
a65e680a-5533-4828-8597-12f1cc0d36af,SME Corp Malaysia,Grants,98822.2,15/2/2024,Innovative and High-Growth Businesses,Penang,Success
e7b01834-a156-43ba-b73a-85f497c7dba7,Tekun Nasional,Business loans,91226.61,10/2/2023,SMEs,Kelantan,Moderate
0c0dc396-133a-49c6-83b8-78117de8683b,UDA Holding Berhad,Business premises,0,22/12/2022,Property Development Companies,Penang,Failure
a5789061-b2be-40cc-8d20-1bfee62decca,SME Corp Malaysia,Grants,51791.36,31/12/2023,SMEs,Sarawak,Success
362ce4e5-e457-4c44-a3b0-7e22808c39b8,Perbadanan Nasional Berhad,Advisory services,0,19/7/2024,Franchise Businesses,Perlis,Success
1c0d2285-627d-4441-b89e-70391046cac6,Institut Koperasi Malaysia,Cooperative training programs,0,19/9/2022,Startups,Penang,Failure
09790314-8f20-401a-b49c-2f5c09658cd3,UDA Holding Berhad,Business premises,0,11/3/2023,SMEs,Perak,Moderate
4404f4aa-ec68-4e04-a3d5-c3ceb1678970,Institut Keusahawanan Negara,Entrepreneurial training,0,26/2/2024,Innovative and High-Growth Businesses,Kelantan,Moderate
e34b0f42-746f-404f-bb62-5815df8aae60,Perbadanan Nasional Berhad,Franchise development support,0,9/4/2024,Startups,Negeri Sembilan,Failure
794a196b-e0a5-44bd-94db-3195a27baa90,Amanah Ikhtiar Malaysia,Entrepreneurial training,0,17/11/2022,Microenterprises,Putrajaya,Moderate
c2afc4b3-b199-4a6e-9c9f-2fa31dea4d2a,UDA Holding Berhad,Advisory services,0,11/5/2024,Startups,Melaka,Failure
cd3caf4b-c716-49ea-8c6c-d79cd9bf0b18,UDA Holding Berhad,Business premises,0,8/2/2024,SMEs,Penang,Failure
226974a3-18dc-4c5e-8c4b-755dea072157,Institut Koperasi Malaysia,Cooperative training programs,0,7/8/2024,SMEs,Perak,Success
42201676-86ca-4e79-9956-60089c9338a2,Perbadanan Nasional Berhad,Franchise development support,0,21/9/2023,Startups,Johor,Moderate
23ebd3f6-b351-4e30-b8e6-218b40724905,SME Bank,Business loans,65992.06,19/3/2023,Social Enterprises,Perlis,Moderate
cf3875fb-20d1-4426-b0f4-f29f9bbbc215,Amanah Ikhtiar Malaysia,Microfinancing,82997.74,9/10/2022,Women Entrepreneurs,Putrajaya,Success
92ebd7bf-e865-41bf-a83f-93d4543a5000,Perbadanan Nasional Berhad,Franchise development support,0,29/4/2024,Startups,Sabah,Success
b9990624-cbc7-44e4-8b99-7e525689277f,SME Bank,Advisory services,0,29/1/2024,Startups,Pahang,Moderate
13b8edf5-a32c-471f-9733-535fa180ae2a,Tekun Nasional,Advisory services,0,5/12/2022,SMEs,Kuala Lumpur,Success
7aa2861b-c611-413c-ae1d-990ce8e3d763,Institut Koperasi Malaysia,Cooperative training programs,0,17/5/2024,Startups,Perlis,Failure
baf4547c-17fa-4666-9bd3-1e4689c6b8a3,Institut Koperasi Malaysia,Cooperative training programs,0,19/7/2023,Startups,Putrajaya,Moderate
4d2cbe06-9d12-4b6a-8f6a-41d9fea38707,Institut Koperasi Malaysia,Cooperative training programs,0,2/11/2023,Cooperatives,Terengganu,Success
847e6b83-3f69-4916-bea4-61942d3217be,Tekun Nasional,Business loans,51689.53,27/11/2023,Startups,Perak,Failure
3c736566-9996-4fa5-8064-b7a42cd75130,UDA Holding Berhad,Property development support,0,16/11/2023,SMEs,Kedah,Success
8c110e88-2b6b-4f7c-bbb1-03f200ffba69,Institut Koperasi Malaysia,Cooperative training programs,0,17/4/2023,Cooperatives,Sarawak,Moderate
72080a87-4fb3-44c8-8fdc-5c15d0f4bd69,Bank Rakyat,Business loans,44702.74,29/1/2023,SMEs,Sarawak,Success
144b7b0e-ba3c-4e1b-8c20-df9159409c43,Suruhanjaya Koperasi Malaysia,Grants,21320.72,23/3/2024,SMEs,Kelantan,Failure
d1fe55ab-543e-492a-ad64-86c78442a5af,Amanah Ikhtiar Malaysia,Entrepreneurial training,0,14/3/2023,Women Entrepreneurs,Perak,Failure
c470f37f-76dd-4f3e-89c5-70365ca0e76a,Institut Keusahawanan Negara,Entrepreneurial training,0,5/9/2022,SMEs,Sabah,Moderate
b84c761b-c82a-4332-bb4b-73f346d90071,Institut Koperasi Malaysia,Cooperative training programs,0,21/5/2023,SMEs,Terengganu,Moderate
aeeb5c0a-82a9-4740-9a61-66069a750fa8,Tekun Nasional,Entrepreneurial training,0,22/3/2023,SMEs,Kelantan,Success
4fcd17ca-2d5b-4494-b141-aba2c5923468,Institut Keusahawanan Negara,Advisory services,0,22/5/2024,SMEs,Kedah,Failure
38b1c834-71fc-416a-885a-073fa898b782,Bank Rakyat,Business loans,18600.27,22/9/2023,SMEs,Johor,Failure
e4efbe01-35ce-4b30-a21d-7ccea89f8db2,Institut Keusahawanan Negara,Entrepreneurial training,0,21/1/2024,Innovative and High-Growth Businesses,Kuala Lumpur,Moderate
8a204af2-367c-4ca7-938d-b9fc6650cc11,Suruhanjaya Koperasi Malaysia,Grants,95051.39,11/4/2023,Cooperatives,Perlis,Moderate
25fdaffe-7385-4d6e-a0e6-c969036c2141,SME Bank,Advisory services,0,1/4/2023,Startups,Terengganu,Success
3f87edc6-3d10-4b46-9cf4-948eeee21066,Institut Koperasi Malaysia,Cooperative training programs,0,4/11/2022,Startups,Kedah,Moderate
42908eb8-6e42-4949-bbd0-b7117cbefdee,SME Corp Malaysia,Grants,51376.37,15/11/2022,SMEs,Kedah,Success
e9a5d0a6-5c28-462a-8c1f-da49244d9c61,Institut Keusahawanan Negara,Entrepreneurial training,0,28/3/2023,SMEs,Kelantan,Failure
6333713d-7c67-4681-b20b-2b53c3bc0a74,UDA Holding Berhad,Advisory services,0,9/5/2023,SMEs,Kelantan,Failure
300fed73-4982-4431-a031-8378bd068358,Suruhanjaya Koperasi Malaysia,Cooperative advisory services,0,14/10/2022,SMEs,Penang,Moderate
80dacee9-1238-4d50-93c2-68cebedd35cf,Bank Rakyat,Business loans,85588.52,20/2/2024,Individuals,Johor,Moderate
1c0ed5b7-0bf0-42ab-bbfe-fa644e7a7191,SME Corp Malaysia,Advisory services,0,22/3/2023,SMEs,Melaka,Failure
5ffb5a1d-a44a-4041-9eb5-852c1134a29e,Tekun Nasional,Microfinancing,67220.55,3/9/2022,Microenterprises,Terengganu,Moderate
035bc5a8-37b7-431e-b962-817d7f74261e,Tekun Nasional,Microfinancing,66125.79,30/7/2023,Microenterprises,Negeri Sembilan,Moderate
3a1e3e45-83c5-4fca-b70b-1d0e35c37b2a,Institut Koperasi Malaysia,Cooperative training programs,0,31/1/2023,SMEs,Sarawak,Moderate
74d9ee72-ff6b-4012-9646-f282661775a4,SME Bank,Business loans,24286.04,10/1/2023,SMEs,Pahang,Failure
cad42178-20ba-4065-ba63-f93533ef1903,Institut Koperasi Malaysia,Cooperative training programs,0,4/12/2022,Startups,Pahang,Failure
fbe92e97-393f-4526-8078-03a9164796f9,Institut Keusahawanan Negara,Advisory services,0,25/3/2024,Startups,Penang,Failure
ca9b5e40-959c-45c9-a1d9-7364d8d87795,Institut Koperasi Malaysia,Cooperative training programs,0,28/7/2024,SMEs,Terengganu,Success
458df17e-6ae6-4a5a-a14e-821e1ae07a94,SME Bank,Business loans,93143.6,20/9/2023,Startups,Kuala Lumpur,Failure
c920e60d-26f3-4590-9d0c-b6ad02bf7bd9,Suruhanjaya Koperasi Malaysia,Grants,2591.23,23/2/2023,SMEs,Perak,Failure
adb77dca-8adb-4e59-9b53-cce1dd68735d,Institut Keusahawanan Negara,Advisory services,0,20/5/2024,SMEs,Penang,Moderate
0a499639-b3a4-46f2-a96e-f5fd889230f1,Bank Rakyat,Business loans,79046.3,20/11/2023,Cooperatives,Labuan,Failure
3327b754-2f27-428e-b25c-04f9fe3910a1,Bank Rakyat,Business loans,88696.2,26/5/2023,SMEs,Terengganu,Success
5c249ed0-c2b9-4ec4-afe1-a701fcf29a14,Institut Koperasi Malaysia,Cooperative training programs,0,1/12/2023,SMEs,Sabah,Failure
83ec8426-ad6e-42ec-a47b-d2a6a79a8504,Perbadanan Nasional Berhad,Financing for franchise businesses,12355.8,25/2/2024,SMEs,Kuala Lumpur,Failure
79b4a3ca-572f-4937-895d-29bbd6f9a4c4,UDA Holding Berhad,Property development support,0,28/8/2022,Startups,Melaka,Success
b705e9af-ae85-44cf-b331-a165bc837d1d,SME Bank,Business loans,47425.9,29/7/2023,SMEs,Johor,Failure
20827c76-f894-4465-8b8e-0e971be095f1,Institut Koperasi Malaysia,Cooperative training programs,0,25/3/2024,Cooperatives,Selangor,Success
931ed87f-d82c-4db7-a692-a4f730b9375c,Suruhanjaya Koperasi Malaysia,Cooperative advisory services,0,1/1/2024,SMEs,Perlis,Success
63a2710d-c363-44e7-9fad-263d5f5296c9,Tekun Nasional,Entrepreneurial training,0,19/6/2023,Startups,Kedah,Failure
99151e26-2f65-4ada-9519-6c8032e565a6,Institut Koperasi Malaysia,Cooperative training programs,0,18/4/2023,SMEs,Sabah,Success
0517a2f1-d19b-4426-994c-545adf41258b,Tekun Nasional,Advisory services,0,1/8/2024,Startups,Penang,Failure
408e006f-0b26-4ec1-a5c1-8d77fb2d1857,SME Corp Malaysia,Grants,38385.85,20/10/2022,Innovative and High-Growth Businesses,Johor,Success
64959eaa-43cf-4cbd-92b1-5d2d2557056b,UDA Holding Berhad,Advisory services,0,1/1/2023,SMEs,Pahang,Failure
a687b8e0-d79b-48c5-bda8-83fdc9345ffd,SME Corp Malaysia,Grants,71620.63,9/7/2024,Innovative and High-Growth Businesses,Penang,Moderate
1038a41b-778f-42ad-b161-3ca14a17b804,SME Bank,Business loans,17223.83,10/4/2024,Social Enterprises,Kuala Lumpur,Failure
e6631831-2892-41bd-b0ee-23e2cbed36fe,Amanah Ikhtiar Malaysia,Entrepreneurial training,0,18/7/2024,Microenterprises,Perlis,Moderate
6ea866df-3492-4520-9bad-62ab37717971,Institut Koperasi Malaysia,Cooperative training programs,0,18/4/2024,Cooperatives,Selangor,Success
09c94754-09c8-484a-8a20-f5e6fd77d4fa,UDA Holding Berhad,Business premises,0,26/6/2023,Startups,Johor,Failure
1d0bd248-cea1-46d9-bef8-041395ac9d04,Institut Keusahawanan Negara,Advisory services,0,1/7/2023,SMEs,Labuan,Moderate
0325bd99-e524-4046-8e1f-f90c38aeef56,Perbadanan Nasional Berhad,Advisory services,0,19/7/2023,SMEs,Pahang,Success
c65cd6b9-063a-4441-80a1-2f0f678ac0da,Institut Keusahawanan Negara,Entrepreneurial training,0,22/4/2024,Startups,Terengganu,Success
e93398ec-0ad5-48ae-8886-8b8ec9c18ea5,Bank Rakyat,Microfinancing,93828.07,27/9/2022,SMEs,Kedah,Moderate
5673a843-2cb0-4f20-96e8-a9ac297ca609,Institut Koperasi Malaysia,Cooperative training programs,0,6/1/2024,Cooperatives,Terengganu,Failure
1e584ab4-1fc4-4325-bf35-b5219cffa939,SME Corp Malaysia,Grants,79871.12,23/12/2022,Innovative and High-Growth Businesses,Kelantan,Success
efcc10c8-efab-495d-a9d3-412e1be03388,Institut Koperasi Malaysia,Cooperative training programs,0,8/1/2023,Cooperatives,Labuan,Moderate
c453ebdf-fdaa-4854-928b-94dcd3bad39e,Bank Rakyat,Microfinancing,89966.04,1/4/2023,Cooperatives,Melaka,Failure
927205fb-afe4-4509-ae71-6659aec6cc50,Bank Rakyat,Business loans,19762.67,28/10/2022,Cooperatives,Perak,Failure
6c0533ca-59a8-4289-afce-cdaf8f03ba9a,Amanah Ikhtiar Malaysia,Microfinancing,26618.2,10/2/2023,Microenterprises,Penang,Success
5e517338-276a-4b8f-b93c-b1fc5abbb27b,Perbadanan Nasional Berhad,Franchise development support,0,26/7/2024,Startups,Kuala Lumpur,Moderate
c6d3eec8-ac1a-46f1-a1b8-58134afc0597,SME Bank,Business loans,25753.97,3/9/2023,Social Enterprises,Kuala Lumpur,Failure
8b96e675-070e-4673-8b5a-e40f05dc42fc,SME Bank,Business loans,19079.1,29/1/2024,Startups,Penang,Failure
eadd1c44-7305-4404-895c-0d08728de450,Institut Koperasi Malaysia,Cooperative training programs,0,27/4/2024,SMEs,Johor,Moderate
