Business Type,Industry,Years in Operation,Location,Grant Amount,Number of Trainings,Advisory Sessions,Microfinancing,Business Development Services,Success Rate (%)
Startup,Retail,1,Urban,79083,8,8,No,Yes,74.5415
Startup,Services,19,Urban,51027,7,5,Yes,Yes,59.0135
Microenterprise,Tech,13,Rural,34531,0,8,No,Yes,36.2655
Startup,Manufacturing,13,Suburban,8712,5,3,Yes,Yes,30.856
Microenterprise,Tech,4,Urban,65455,8,7,No,Yes,66.2275
Individual,Manufacturing,1,Suburban,74744,6,8,No,No,61.372
Microenterprise,Tech,17,Rural,5109,3,3,Yes,No,18.0545
Individual,Manufacturing,8,Rural,49268,0,4,Yes,No,35.634
Individual,Manufacturing,2,Urban,54615,1,7,Yes,No,44.8075
SME,Retail,8,Rural,82503,4,9,Yes,Yes,74.7515
Microenterprise,Manufacturing,7,Urban,29759,4,5,Yes,Yes,42.3795
SME,Retail,2,Rural,85708,7,6,No,Yes,72.854
Microenterprise,Manufacturing,3,Rural,60112,5,2,No,No,43.056
Microenterprise,Services,18,Urban,26589,7,6,No,Yes,43.2945
SME,Services,12,Urban,30015,1,7,No,No,27.5075
SME,Services,1,Urban,29009,2,9,No,Yes,39.0045
Microenterprise,Manufacturing,12,Rural,83309,5,5,No,Yes,66.1545
Startup,Retail,5,Rural,62046,9,9,No,No,62.523
Individual,Retail,17,Suburban,26143,2,8,Yes,Yes,41.0715
SME,Manufacturing,16,Urban,6154,5,5,Yes,Yes,32.577
Individual,Services,15,Rural,21804,5,8,No,No,32.902
Startup,Services,15,Rural,41688,1,3,No,Yes,34.344
Startup,Retail,5,Urban,64288,6,7,Yes,No,59.644
Startup,Services,14,Suburban,51195,1,3,Yes,Yes,44.0975
SME,Tech,2,Urban,20581,5,1,Yes,Yes,33.7905
Startup,Retail,11,Suburban,52648,0,9,Yes,Yes,51.824
SME,Services,19,Rural,30087,2,8,No,Yes,38.0435
Startup,Retail,7,Suburban,49930,1,4,Yes,Yes,44.965
Individual,Tech,6,Rural,32981,6,3,No,Yes,39.9905
Individual,Retail,2,Urban,69298,3,1,No,Yes,49.149
Microenterprise,Retail,6,Urban,46167,7,0,No,Yes,44.0835
Individual,Retail,18,Urban,75304,5,6,Yes,No,61.652
Microenterprise,Retail,2,Suburban,43408,9,5,Yes,No,52.204
Individual,Tech,18,Rural,39499,3,1,No,Yes,34.2495
SME,Manufacturing,15,Urban,52269,4,7,No,Yes,51.6345
Individual,Retail,19,Urban,38559,8,3,No,No,39.7795
Microenterprise,Retail,2,Rural,74319,6,7,Yes,Yes,71.6595
Microenterprise,Services,20,Urban,95317,9,6,No,Yes,81.6585
Startup,Retail,6,Rural,96347,8,4,Yes,No,75.1735
SME,Services,1,Rural,48787,6,9,No,Yes,56.8935
Individual,Manufacturing,15,Rural,35488,0,9,No,Yes,38.244
Startup,Tech,10,Rural,74441,7,7,No,No,61.7205
Individual,Tech,19,Rural,74663,3,8,Yes,Yes,67.3315
Individual,Manufacturing,17,Suburban,22431,2,4,Yes,Yes,33.2155
Startup,Tech,5,Urban,61681,6,9,No,No,56.3405
Startup,Manufacturing,4,Suburban,63483,2,4,Yes,Yes,53.7415
Startup,Manufacturing,10,Urban,49153,7,1,No,No,40.0765
Startup,Manufacturing,17,Suburban,6368,5,4,Yes,Yes,31.184
Startup,Tech,10,Rural,27424,4,2,Yes,Yes,36.712
Individual,Services,17,Urban,45004,3,6,Yes,No,42.502
Startup,Manufacturing,20,Urban,83869,7,9,No,No,69.4345
SME,Retail,5,Suburban,88652,7,4,Yes,Yes,76.326
Microenterprise,Tech,2,Suburban,56985,0,7,Yes,No,43.9925
Startup,Manufacturing,6,Urban,50069,8,0,No,No,41.0345
Startup,Manufacturing,2,Suburban,52326,4,2,No,Yes,44.163
Individual,Retail,13,Suburban,81061,3,2,No,Yes,56.5305
Startup,Services,11,Suburban,23398,5,8,No,Yes,40.699
Startup,Services,11,Rural,98393,5,4,Yes,No,70.1965
Startup,Services,16,Rural,50861,1,8,Yes,No,44.4305
Individual,Manufacturing,11,Suburban,75897,7,8,Yes,No,68.9485
Startup,Manufacturing,19,Suburban,81905,6,0,Yes,No,57.9525
Microenterprise,Manufacturing,15,Rural,68577,0,1,Yes,Yes,47.7885
Individual,Tech,16,Rural,65641,4,4,No,No,46.8205
Microenterprise,Retail,11,Urban,9078,5,3,Yes,Yes,31.039
Individual,Manufacturing,16,Urban,25003,3,9,Yes,No,37.0015
Startup,Retail,8,Rural,62768,1,8,Yes,Yes,57.384
Microenterprise,Retail,4,Suburban,51047,3,6,No,Yes,47.5235
Individual,Services,8,Suburban,71626,0,5,No,Yes,50.313
SME,Tech,4,Suburban,57660,6,6,Yes,No,54.83
Startup,Manufacturing,3,Suburban,49786,1,0,No,Yes,33.893
Individual,Services,3,Urban,1925,1,0,No,Yes,9.9625
SME,Services,18,Rural,83976,8,7,No,No,68.488
Individual,Manufacturing,19,Suburban,26015,4,1,No,Yes,29.5075
SME,Retail,19,Urban,33320,1,9,No,No,32.16
Startup,Services,5,Suburban,64881,8,8,No,No,60.4405
Microenterprise,Retail,18,Rural,90827,8,6,No,Yes,77.4135
SME,Tech,10,Urban,26289,0,5,Yes,Yes,32.6445
Individual,Retail,6,Rural,3389,2,0,Yes,No,10.6945
Startup,Tech,1,Rural,25683,3,0,No,Yes,25.8415
SME,Retail,5,Urban,13629,6,1,Yes,No,25.3145
Individual,Services,9,Urban,61550,9,5,Yes,No,61.275
Individual,Services,12,Urban,24826,3,5,No,No,25.913
Individual,Tech,14,Urban,26630,1,1,Yes,Yes,28.815
SME,Manufacturing,2,Urban,98762,6,0,No,No,61.381
SME,Tech,17,Urban,46163,5,9,No,Yes,53.5815
SME,Tech,14,Urban,98511,2,4,No,Yes,66.2555
Microenterprise,Retail,13,Suburban,66435,5,4,Yes,Yes,61.2175
SME,Retail,9,Rural,11653,5,1,Yes,Yes,29.3265
SME,Tech,15,Urban,27961,4,5,Yes,No,34.4805
SME,Services,15,Suburban,81941,3,8,Yes,Yes,70.9705
Microenterprise,Retail,11,Suburban,74137,9,1,No,No,56.5685
SME,Manufacturing,16,Suburban,33662,0,9,No,No,30.331
Individual,Retail,17,Rural,98818,9,1,Yes,Yes,80.909
SME,Retail,4,Urban,56446,5,2,No,No,41.223
Individual,Manufacturing,1,Suburban,21288,1,6,No,No,21.644
Individual,Tech,8,Rural,95081,2,5,Yes,Yes,71.0405
Individual,Manufacturing,17,Rural,36877,7,7,No,No,42.9385
Microenterprise,Tech,3,Rural,15313,9,7,Yes,No,41.1565
Microenterprise,Tech,20,Suburban,80885,5,5,No,No,57.9425
Microenterprise,Tech,15,Urban,72715,2,9,Yes,No,58.8575
SME,Manufacturing,15,Suburban,10326,6,2,No,Yes,27.163
Individual,Tech,14,Suburban,1560,3,2,No,No,9.78
Microenterprise,Services,14,Urban,79148,8,0,Yes,No,60.574
Microenterprise,Manufacturing,2,Urban,83186,4,6,Yes,No,63.593
SME,Services,13,Urban,26745,2,4,Yes,No,28.3725
Microenterprise,Tech,14,Rural,31890,1,3,Yes,Yes,34.445
SME,Retail,19,Urban,20022,1,9,No,No,25.511
Startup,Tech,7,Suburban,52579,2,3,No,Yes,41.7895
Microenterprise,Services,3,Urban,70316,1,3,Yes,No,46.658
Startup,Services,15,Suburban,83847,3,5,No,Yes,62.4235
SME,Manufacturing,14,Rural,28380,1,7,Yes,Yes,38.69
Individual,Retail,11,Suburban,2356,9,7,Yes,Yes,41.678
Microenterprise,Manufacturing,15,Suburban,70326,8,4,No,Yes,64.163
SME,Services,13,Urban,92447,1,5,No,Yes,62.7235
Individual,Tech,18,Urban,89899,8,3,Yes,No,70.4495
Individual,Retail,6,Suburban,20049,5,8,Yes,No,37.0245
Startup,Tech,3,Urban,75717,0,7,Yes,No,53.3585
SME,Tech,19,Rural,16082,3,9,No,Yes,34.541
Individual,Retail,15,Rural,661,0,9,No,No,13.8305
Microenterprise,Manufacturing,5,Urban,37412,5,0,No,Yes,35.706
Microenterprise,Tech,10,Rural,2920,3,1,No,Yes,15.96
Startup,Services,7,Urban,91194,2,8,Yes,No,66.597
Individual,Tech,17,Suburban,60315,2,7,Yes,No,49.6575
SME,Retail,7,Suburban,79561,8,2,Yes,Yes,70.7805
Microenterprise,Retail,12,Rural,8946,5,7,Yes,Yes,36.973
Individual,Retail,17,Urban,94242,8,0,Yes,No,68.121
Individual,Manufacturing,13,Urban,45500,4,9,Yes,No,49.25
Startup,Tech,20,Rural,16309,1,3,No,No,14.6545
Microenterprise,Manufacturing,4,Suburban,55230,7,2,No,No,44.615
Microenterprise,Manufacturing,10,Rural,98656,4,5,Yes,Yes,76.828
SME,Retail,3,Suburban,30027,1,6,Yes,No,31.0135
Microenterprise,Retail,9,Urban,72541,3,3,No,No,46.7705
SME,Manufacturing,13,Suburban,59321,8,6,No,No,54.6605
Microenterprise,Tech,18,Rural,956,3,8,No,Yes,25.478
Startup,Services,15,Urban,74131,3,1,No,Yes,51.5655
Microenterprise,Manufacturing,4,Rural,47908,1,2,Yes,Yes,40.954
SME,Tech,15,Rural,78339,5,4,Yes,Yes,67.1695
SME,Retail,2,Suburban,25963,1,2,Yes,No,22.9815
Startup,Retail,15,Rural,39443,6,7,Yes,Yes,54.2215
Microenterprise,Tech,8,Suburban,99259,2,9,Yes,No,72.1295
Microenterprise,Services,8,Urban,39063,2,7,No,No,34.0315
Startup,Retail,17,Suburban,80818,4,7,Yes,No,63.909
Microenterprise,Retail,12,Urban,4703,2,8,No,No,18.3515
Microenterprise,Retail,19,Suburban,65128,1,3,Yes,Yes,51.064
SME,Tech,10,Rural,72099,9,4,Yes,Yes,72.0495
Microenterprise,Manufacturing,9,Suburban,25849,8,4,Yes,Yes,46.9245
Microenterprise,Retail,5,Suburban,31860,1,7,Yes,No,33.43
Startup,Manufacturing,6,Urban,31585,1,6,Yes,No,31.7925
Startup,Services,20,Rural,22015,7,8,No,No,37.0075
Individual,Retail,2,Suburban,77539,8,7,No,No,65.2695
SME,Retail,13,Rural,43585,6,1,No,No,35.2925
Microenterprise,Services,6,Suburban,26958,2,9,Yes,Yes,42.979
Microenterprise,Retail,5,Suburban,26017,8,3,Yes,No,38.5085
Individual,Manufacturing,1,Rural,76707,2,5,No,Yes,56.8535
Microenterprise,Tech,6,Suburban,45350,4,1,Yes,No,37.175
SME,Manufacturing,6,Rural,12201,8,6,Yes,No,36.1005
Individual,Tech,16,Suburban,29426,2,2,No,Yes,28.713
SME,Tech,4,Urban,17778,6,2,Yes,Yes,35.889
Individual,Manufacturing,11,Rural,45241,0,1,No,No,24.1205
Individual,Manufacturing,9,Suburban,42229,3,7,Yes,No,42.6145
Startup,Manufacturing,3,Suburban,86652,3,5,No,No,56.826
SME,Manufacturing,19,Urban,48364,6,0,Yes,No,41.182
Microenterprise,Services,8,Rural,98833,7,0,Yes,Yes,75.4165
Microenterprise,Retail,5,Suburban,84878,0,6,No,No,51.439
SME,Tech,4,Urban,57056,4,7,Yes,Yes,59.028
Microenterprise,Manufacturing,6,Suburban,27490,6,4,Yes,No,36.745
Microenterprise,Manufacturing,2,Rural,19975,3,4,No,Yes,28.9875
SME,Manufacturing,20,Suburban,26723,3,3,Yes,Yes,35.8615
Individual,Services,11,Suburban,23279,3,5,No,No,25.1395
SME,Manufacturing,4,Suburban,78301,5,5,Yes,Yes,68.6505
Individual,Manufacturing,15,Suburban,11561,6,2,Yes,No,25.7805
Microenterprise,Manufacturing,6,Urban,66061,1,8,Yes,Yes,59.0305
Microenterprise,Retail,17,Urban,88397,4,6,Yes,No,66.1985
Microenterprise,Services,6,Rural,49153,3,0,No,Yes,37.5765
Startup,Manufacturing,19,Urban,33142,2,6,Yes,No,34.571
Individual,Tech,2,Urban,26916,6,4,No,No,31.458
Startup,Tech,15,Rural,64324,5,4,Yes,Yes,60.162
Startup,Tech,11,Urban,44965,6,1,Yes,Yes,47.9825
SME,Services,8,Urban,4648,4,3,Yes,Yes,26.824
Startup,Services,19,Rural,35133,5,5,Yes,Yes,47.0665
SME,Tech,13,Rural,50677,4,9,No,No,46.8385
SME,Manufacturing,12,Rural,96059,6,6,No,Yes,76.0295
Startup,Services,5,Suburban,94588,1,4,No,No,55.294
Individual,Tech,6,Suburban,99950,4,8,No,Yes,76.975
Individual,Tech,4,Rural,98317,5,2,Yes,No,67.1585
Individual,Manufacturing,19,Rural,70135,5,0,No,No,45.0675
Individual,Retail,20,Rural,35046,4,3,No,No,30.023
Individual,Services,1,Suburban,47064,9,8,Yes,No,58.532
Startup,Manufacturing,20,Suburban,69350,6,3,Yes,Yes,63.175
Startup,Tech,17,Urban,45893,9,1,Yes,Yes,54.4465
Microenterprise,Tech,12,Urban,61272,7,9,Yes,No,63.136
Individual,Manufacturing,15,Rural,92152,6,4,No,Yes,71.076
Startup,Services,1,Suburban,67649,4,2,No,Yes,51.8245
Microenterprise,Retail,14,Suburban,64674,0,8,Yes,No,49.337
Individual,Retail,6,Suburban,13760,4,3,Yes,Yes,31.38
SME,Tech,5,Rural,21927,9,5,Yes,Yes,48.4635
Microenterprise,Services,11,Urban,86475,1,1,No,Yes,53.7375
Startup,Retail,4,Rural,61367,4,5,No,No,46.1835
SME,Services,13,Urban,97955,4,2,Yes,Yes,71.9775
SME,Services,11,Urban,12588,1,8,Yes,No,25.294
SME,Tech,3,Rural,52233,4,1,No,Yes,42.6165
Microenterprise,Retail,1,Urban,44738,3,8,Yes,Yes,52.369
Startup,Manufacturing,6,Urban,33397,0,4,Yes,Yes,34.6985
SME,Tech,18,Suburban,82189,2,7,No,No,55.5945
Individual,Retail,10,Urban,76367,0,1,Yes,No,44.6835
SME,Retail,5,Rural,71260,4,5,No,Yes,58.13
SME,Retail,10,Rural,76619,3,2,Yes,No,52.3095
Microenterprise,Retail,12,Urban,19816,6,9,Yes,Yes,47.408
Microenterprise,Retail,2,Suburban,42240,4,4,No,No,35.12
Startup,Services,13,Suburban,6276,9,7,No,No,31.638
Individual,Tech,8,Urban,79530,3,9,Yes,Yes,71.265
Microenterprise,Services,2,Urban,23499,1,0,No,Yes,20.7495
SME,Manufacturing,20,Rural,88576,3,4,Yes,Yes,68.288
Startup,Retail,1,Urban,82495,1,2,Yes,Yes,58.2475
SME,Tech,5,Suburban,71635,7,3,No,No,54.3175
SME,Retail,9,Urban,85112,2,1,Yes,No,53.056
Microenterprise,Tech,17,Rural,35946,8,8,Yes,No,50.973
Startup,Services,9,Rural,55204,3,2,No,Yes,43.602
Individual,Tech,11,Rural,51886,5,1,No,Yes,44.443
Individual,Manufacturing,15,Rural,71652,9,9,Yes,No,72.326
Microenterprise,Manufacturing,6,Rural,15563,4,8,No,Yes,34.7815
Microenterprise,Tech,3,Urban,92324,9,6,No,No,73.162
Startup,Tech,17,Urban,92464,0,5,No,No,53.732
Individual,Tech,5,Urban,9847,8,0,No,No,20.9235
Individual,Tech,12,Urban,26155,0,4,Yes,No,24.0775
Individual,Manufacturing,18,Rural,79671,7,2,Yes,No,61.8355
SME,Retail,14,Suburban,83310,8,0,Yes,Yes,69.655
Individual,Tech,11,Urban,67278,8,3,No,Yes,61.139
SME,Tech,9,Suburban,18309,0,1,No,Yes,17.6545
Startup,Manufacturing,2,Urban,619,1,1,No,No,3.8095
SME,Manufacturing,12,Urban,83194,0,2,No,No,44.597
Startup,Services,3,Suburban,50108,9,7,No,No,53.554
Individual,Tech,3,Rural,34707,1,7,No,No,29.8535
Individual,Services,1,Urban,20337,9,6,No,Yes,44.1685
Startup,Manufacturing,8,Urban,81537,7,5,Yes,Yes,74.2685
Microenterprise,Manufacturing,8,Urban,66504,4,8,Yes,No,58.252
Startup,Retail,11,Suburban,47614,6,3,No,No,40.307
Microenterprise,Tech,9,Rural,91428,1,0,No,No,47.714
SME,Services,5,Suburban,91155,7,7,No,Yes,77.0775
SME,Manufacturing,14,Suburban,281,5,6,Yes,Yes,31.1405
SME,Manufacturing,3,Rural,27420,7,6,Yes,Yes,48.71
Individual,Services,5,Suburban,80896,0,2,No,No,43.448
SME,Retail,5,Rural,39030,0,3,No,No,24.015
Microenterprise,Manufacturing,19,Urban,1058,6,9,Yes,Yes,38.029
SME,Tech,14,Rural,86213,7,8,Yes,No,74.1065
Startup,Manufacturing,4,Urban,76260,2,5,Yes,Yes,61.63
Startup,Tech,13,Suburban,28404,4,4,Yes,No,33.202
Individual,Services,10,Suburban,29856,0,2,No,Yes,24.928
Startup,Tech,18,Urban,9200,6,8,Yes,No,33.6
Microenterprise,Services,8,Suburban,64178,4,4,Yes,Yes,58.089
SME,Tech,8,Rural,33997,7,4,No,Yes,43.9985
Individual,Services,7,Urban,25611,7,3,Yes,Yes,43.3055
SME,Tech,8,Suburban,41235,8,3,Yes,Yes,53.1175
SME,Retail,14,Urban,35057,6,0,Yes,Yes,41.5285
Microenterprise,Tech,19,Rural,1239,0,6,No,Yes,16.6195
Startup,Tech,6,Rural,65661,2,8,Yes,No,53.8305
Startup,Retail,1,Suburban,45272,7,2,No,No,39.636
SME,Manufacturing,15,Rural,89393,2,1,No,No,50.1965
Individual,Manufacturing,1,Urban,61212,7,2,Yes,Yes,59.606
Startup,Tech,17,Rural,15398,0,0,Yes,Yes,19.699
Individual,Retail,1,Urban,56503,4,5,Yes,No,48.7515
Startup,Tech,15,Urban,6638,3,6,Yes,Yes,30.319
Individual,Services,2,Rural,6570,4,1,No,Yes,19.785
Microenterprise,Services,14,Suburban,68785,7,7,Yes,Yes,70.8925
Individual,Tech,8,Rural,9110,9,5,Yes,Yes,42.055
Microenterprise,Manufacturing,8,Urban,79141,3,3,Yes,Yes,62.0705
Microenterprise,Manufacturing,19,Urban,12115,3,4,No,No,18.0575
Individual,Tech,7,Rural,39062,2,7,Yes,No,39.031
Microenterprise,Tech,19,Suburban,22911,6,2,Yes,No,31.4555
SME,Services,6,Suburban,32556,2,2,No,No,23.278
Microenterprise,Manufacturing,6,Urban,78131,2,3,No,No,47.5655
Startup,Tech,3,Urban,1969,9,0,Yes,Yes,30.9845
Individual,Services,7,Suburban,43753,4,8,Yes,Yes,53.8765
SME,Manufacturing,19,Rural,82811,4,7,Yes,Yes,71.9055
Individual,Retail,8,Urban,4470,5,7,Yes,Yes,34.735
Startup,Services,10,Urban,10225,7,9,Yes,No,37.6125
Startup,Manufacturing,20,Suburban,23196,9,5,No,No,37.098
Startup,Manufacturing,15,Rural,13669,5,6,No,No,25.8345
Microenterprise,Services,15,Suburban,37380,0,5,Yes,Yes,38.19
Microenterprise,Retail,1,Rural,48320,7,8,Yes,No,55.16
Individual,Services,20,Rural,47414,7,2,No,Yes,47.707
Individual,Manufacturing,7,Rural,15577,8,2,Yes,No,31.7885
SME,Tech,4,Urban,88009,8,2,Yes,No,68.0045
SME,Tech,6,Suburban,55409,1,9,Yes,Yes,55.2045
Individual,Services,1,Suburban,28625,1,2,Yes,Yes,31.3125
Microenterprise,Manufacturing,5,Rural,81040,2,8,Yes,No,61.52
Startup,Tech,1,Urban,24089,0,3,No,No,16.5445
Individual,Manufacturing,4,Urban,36487,3,6,Yes,Yes,45.2435
SME,Services,2,Suburban,65838,3,8,Yes,No,55.919
Microenterprise,Tech,10,Urban,96999,8,6,Yes,No,78.4995
Individual,Manufacturing,5,Urban,94795,8,8,No,Yes,82.3975
Individual,Tech,10,Rural,50138,8,2,No,No,44.069
Microenterprise,Services,1,Urban,42823,9,3,No,Yes,50.9115
Individual,Manufacturing,6,Rural,37208,6,7,No,No,41.104
Microenterprise,Tech,13,Suburban,54061,1,5,Yes,Yes,48.5305
Startup,Services,15,Urban,30659,9,4,No,No,39.3295
Microenterprise,Tech,4,Suburban,31890,4,3,Yes,Yes,40.445
Microenterprise,Tech,13,Suburban,79134,3,7,Yes,No,61.067
Microenterprise,Retail,20,Urban,47055,7,0,No,Yes,44.5275
Individual,Retail,15,Urban,19508,1,8,No,No,23.754
Individual,Services,8,Suburban,42287,5,0,No,No,31.1435
Microenterprise,Retail,5,Urban,78916,4,7,No,No,57.958
Individual,Services,15,Rural,26984,1,3,No,No,19.992
SME,Retail,4,Rural,8125,9,8,Yes,No,39.0625
SME,Tech,12,Urban,36059,0,4,No,No,24.0295
Individual,Services,13,Suburban,69569,7,2,No,No,51.7845
Individual,Services,2,Urban,17087,1,8,No,No,22.5435
Microenterprise,Tech,19,Urban,5704,6,8,Yes,No,31.852
Startup,Services,19,Suburban,60576,8,3,No,Yes,57.788
Individual,Services,4,Suburban,73384,8,3,Yes,Yes,69.192
SME,Retail,4,Rural,87128,7,7,No,No,68.064
Microenterprise,Services,11,Suburban,72460,9,1,No,Yes,62.73
Individual,Manufacturing,5,Rural,27208,8,8,Yes,No,46.604
SME,Tech,20,Suburban,85150,1,5,No,No,52.075
SME,Retail,11,Urban,66024,5,8,Yes,Yes,67.012
Startup,Retail,10,Rural,39882,3,7,Yes,No,41.441
Microenterprise,Manufacturing,8,Rural,25923,3,6,Yes,No,32.9615
Microenterprise,Tech,6,Rural,29165,4,0,No,Yes,29.5825
Startup,Tech,6,Urban,67203,2,2,No,Yes,47.6015
Startup,Retail,8,Urban,91749,0,1,No,No,47.3745
Microenterprise,Services,15,Urban,4114,7,4,Yes,Yes,34.057
Microenterprise,Retail,14,Urban,64965,4,4,No,Yes,53.4825
Individual,Tech,11,Urban,36321,2,4,Yes,No,33.1605
Individual,Manufacturing,12,Rural,73297,9,3,No,Yes,66.1485
Startup,Retail,13,Urban,96652,6,4,Yes,Yes,78.326
Individual,Tech,8,Rural,99304,6,2,Yes,No,69.652
SME,Retail,18,Urban,25426,0,0,Yes,Yes,24.713
Individual,Services,1,Suburban,17772,8,4,No,Yes,37.886
Individual,Retail,15,Rural,3712,1,8,Yes,No,20.856
SME,Retail,8,Suburban,1367,4,8,Yes,No,25.6835
Startup,Tech,11,Rural,91736,4,3,Yes,No,63.368
SME,Tech,12,Suburban,51924,7,2,Yes,Yes,54.962
Individual,Tech,12,Urban,3726,7,0,Yes,No,20.863
Startup,Retail,4,Urban,89152,6,1,Yes,No,63.076
Individual,Services,16,Urban,27723,6,7,No,Yes,43.3615
SME,Manufacturing,4,Rural,9108,5,0,No,No,14.554
SME,Manufacturing,5,Suburban,77714,5,7,Yes,No,64.357
Individual,Tech,5,Urban,35643,8,6,No,No,42.8215
Microenterprise,Tech,8,Suburban,31324,5,7,No,No,36.162
Microenterprise,Retail,10,Suburban,83360,1,5,Yes,Yes,63.18
SME,Manufacturing,17,Urban,8927,1,8,Yes,No,23.4635
SME,Tech,9,Urban,93680,4,2,Yes,No,62.84
Microenterprise,Services,19,Suburban,96546,3,9,No,Yes,74.773
Microenterprise,Services,14,Urban,22443,1,3,Yes,No,22.7215
Individual,Tech,8,Urban,79973,2,5,No,Yes,58.4865
Individual,Tech,9,Urban,63449,6,7,Yes,Yes,66.2245
Microenterprise,Manufacturing,11,Rural,76743,7,4,No,Yes,65.3715
Individual,Manufacturing,1,Suburban,60233,5,2,Yes,No,48.1165
Individual,Retail,14,Suburban,25537,4,5,Yes,Yes,40.2685
Startup,Manufacturing,5,Rural,77576,0,3,No,Yes,50.288
Individual,Services,14,Suburban,22612,7,8,No,Yes,44.306
SME,Services,4,Urban,93977,2,2,No,No,53.9885
Individual,Tech,1,Suburban,6471,5,3,No,No,17.7355
Individual,Manufacturing,19,Urban,35631,2,6,No,No,30.8155
Microenterprise,Retail,8,Rural,92059,6,6,No,No,67.0295
SME,Services,15,Urban,31348,6,3,Yes,No,37.174
Individual,Services,15,Suburban,64732,8,5,No,No,55.866
Individual,Retail,9,Suburban,1177,4,2,Yes,No,16.5885
Startup,Retail,9,Suburban,4760,7,5,Yes,Yes,35.88
Individual,Services,10,Rural,32779,9,1,No,Yes,42.8895
Individual,Services,20,Rural,21636,9,7,Yes,Yes,51.318
Startup,Retail,9,Suburban,81889,7,1,No,Yes,63.4445
Microenterprise,Services,3,Urban,53551,0,6,No,No,35.7755
Individual,Tech,20,Rural,11556,4,8,Yes,Yes,37.778
Startup,Tech,11,Suburban,27598,2,0,Yes,Yes,29.799
SME,Retail,6,Suburban,11563,0,7,No,Yes,23.2815
Microenterprise,Manufacturing,2,Rural,46819,3,6,No,Yes,45.4095
SME,Retail,7,Rural,73770,7,5,Yes,No,63.385
SME,Retail,18,Rural,91055,2,5,Yes,No,62.0275
Startup,Manufacturing,2,Urban,26966,9,5,Yes,No,43.983
Individual,Manufacturing,17,Urban,81709,1,8,Yes,Yes,66.8545
Startup,Manufacturing,11,Suburban,59889,8,1,No,No,47.4445
